"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 05, 2019","56.798","56.422","57.197","55.761","8.32M","0.67%"
"Oct 04, 2019","56.422","56.442","57.401","55.477","10.08M","-0.03%"
"Oct 03, 2019","56.439","56.290","56.952","54.238","9.49M","0.25%"
"Oct 02, 2019","56.296","55.618","56.586","55.232","9.28M","1.22%"
"Oct 01, 2019","55.619","55.976","57.356","54.982","10.97M","-0.61%"
"Sep 30, 2019","55.961","53.911","56.108","52.827","11.58M","3.81%"
"Sep 29, 2019","53.908","55.460","55.629","52.592","10.06M","-2.80%"
"Sep 28, 2019","55.459","55.836","56.059","54.016","10.71M","-0.67%"
"Sep 27, 2019","55.835","55.232","56.405","53.204","10.31M","1.10%"
"Sep 26, 2019","55.227","57.419","57.463","51.163","14.37M","-3.79%"
"Sep 25, 2019","57.402","55.236","58.046","53.928","18.23M","3.94%"
"Sep 24, 2019","55.225","66.684","67.528","55.191","20.53M","-17.15%"
"Sep 23, 2019","66.657","72.213","74.079","63.271","12.07M","-7.70%"
"Sep 22, 2019","72.217","73.176","73.192","71.283","7.49M","-1.31%"
"Sep 21, 2019","73.178","75.093","75.519","72.327","7.69M","-2.56%"
"Sep 20, 2019","75.097","76.592","76.941","73.123","9.22M","-1.98%"
"Sep 19, 2019","76.616","77.735","77.777","72.849","11.23M","-1.42%"
"Sep 18, 2019","77.723","74.087","79.936","74.028","11.05M","4.92%"
"Sep 17, 2019","74.076","72.582","77.207","72.195","9.52M","2.06%"
"Sep 16, 2019","72.581","70.065","73.420","69.614","8.31M","3.60%"
"Sep 15, 2019","70.060","70.491","71.165","69.671","6.29M","-0.61%"
"Sep 14, 2019","70.491","68.967","71.060","68.333","7.01M","2.21%"
"Sep 13, 2019","68.969","69.217","69.568","67.706","6.62M","-0.36%"
"Sep 12, 2019","69.220","69.783","69.969","68.417","6.16M","-0.81%"
"Sep 11, 2019","69.784","70.785","71.445","68.442","8.08M","-1.41%"
"Sep 10, 2019","70.785","69.910","72.761","69.886","8.83M","1.25%"
"Sep 09, 2019","69.911","70.427","71.177","68.191","8.23M","-0.76%"
"Sep 08, 2019","70.447","68.788","71.333","68.431","8.80M","2.41%"
"Sep 07, 2019","68.790","64.917","70.383","64.591","9.03M","5.96%"
"Sep 06, 2019","64.919","65.230","67.934","64.192","9.30M","-0.48%"
"Sep 05, 2019","65.230","67.047","67.358","64.250","7.88M","-2.71%"
"Sep 04, 2019","67.049","69.034","69.230","66.636","8.40M","-2.87%"
"Sep 03, 2019","69.027","66.946","70.826","66.526","8.84M","3.11%"